	y_predicted
0	8.62170520622426e-05
1	0.000506964373999086
2	0.0008272714562653537
3	-0.0010968206605374996
4	0.0005761023679252417
5	0.0002581740512290496
6	0.0012782407072086347
7	-0.0009393643933443666
8	0.0004959654382791981
9	0.0006896576160317315
10	0.0009790880453499596
11	0.0006050240863070451
12	-0.001248480069480907
13	-0.00017976436025178983
14	0.0009887583408163963
15	-0.000782436925674379
16	-0.0006695532718486101
17	0.00023079001871336802
18	0.000275976983332769
19	-0.0002982519965144582
20	0.0001864720537183785
21	0.0002304233135587349
22	-0.00013332195397570778
23	0.00011916659671081011
24	0.0006880358127366803
25	0.0005983010710597686
26	3.83163515694551e-05
27	5.380944025410475e-06
28	0.0014818865303124244
29	0.0003218775491551629
30	0.00013463079494250159
31	7.534101693310316e-05
32	1.4181294595946303e-05
33	0.0006403077837340177
34	0.00010468563190062283
35	-0.00011865348534879088
36	3.6448042738220393e-05
37	9.647738559246255e-05
38	-0.00014835387184936884
39	-8.776144849469291e-06
40	-0.0004969003548200831
41	0.00010243208735174325
42	-0.0001377854291866044
43	6.353897483210837e-05
44	-0.00039696719841284477
45	0.00023306246112912493
46	-0.0005453229424806753
47	-1.6835717827648312e-05
48	-4.921990823432175e-05
49	-0.0002747288895527955
50	0.0008963742234687352
51	0.0002907991522794048
52	0.00012086195181461852
53	0.00013956468559083387
54	0.00012797370685029466
55	3.0235986255306825e-05
56	0.00010649632857847468
57	0.00015284456616304485
58	9.028180209302921e-05
59	0.0001197663450010305
60	9.203990915949254e-05
61	0.0001534021283174904
62	0.000168614643542103
63	7.111710005816254e-05
64	3.430217660972863e-07
65	0.00010193423807669452
66	9.585065516238666e-05
67	0.00010704319867227755
68	9.697096911906664e-05
69	0.0001216316978629837
70	9.897200226717594e-05
71	6.858345823094713e-05
72	0.00014739209805457454
73	0.0001230149275149821
74	8.210097976786568e-05
75	9.384933906616393e-05
76	0.00013125382378795293
77	0.00010498486628016689
78	6.791411722973505e-05
79	-0.00010962475152305572
80	-0.00011296430121453641
81	-0.00016631843824916438
82	-3.0606124987930824e-05
83	4.19261758567379e-05
84	-0.00029254236625764224
85	-8.21825169706624e-05
86	-0.00020224497948642808
87	-0.00014061694175022146
88	-2.2933959561966173e-05
89	-0.0003120909391188728
90	-9.112151087793876e-05
91	-7.779951236983354e-05
92	-9.514255779544562e-06
93	-7.128060438406536e-05
94	-0.00021496226513380062
95	-0.00028796274921459803
96	-0.0003577687174789301
97	0.0011243419740514912
98	0.00024116925282241633
99	0.00016917447797428994
100	6.0956385833352386e-05
101	-0.0002542627877845818
102	0.00013640861333344
103	2.887636098680171e-05
