	y_predicted
0	-0.00014596853689556735
1	0.00041748411392449427
2	0.0008838227514275645
3	-0.005111121892784399
4	0.0025904748765500623
5	0.0004750912638159031
6	0.0012834322084734216
7	-0.0034918736590172665
8	0.00041748411392449427
9	0.0007390457698500761
10	0.0006907207606594251
11	0.0006488046846911586
12	-0.003513618082878367
13	-0.0013283150983379422
14	0.0006547635265173283
15	-0.004355860171912289
16	-0.004980350438960846
17	-0.0022271594251731955
18	0.00021067725766075204
19	-0.0017643825477305919
20	-0.0004468398075372699
21	0.00031212603870999216
22	-0.0019230988324119747
23	-0.0007727359136579921
24	0.0013685918572917072
25	0.0016372243232641963
26	-0.0002921722415422847
27	-0.000834471906318076
28	0.0011908927988772066
29	0.0019476352857578261
30	-0.0003184345659641145
31	-0.0008570464998203829
32	-0.0004435321264391053
33	0.00242426168423749
34	-0.00039764626256729406
35	-0.0010536766394529764
36	-0.0025039237342809493
37	-0.0004428909439463629
38	-0.0010942668737262346
39	-0.00015422502791193353
40	-0.0027177133790531036
41	-0.0013670267298548713
42	-0.0018874907212974973
43	-0.000545286916954162
44	-0.0033752370747759833
45	0.0019956123118734363
46	-0.0029321858640319475
47	-0.000562431287570654
48	-0.0010970146117635728
49	-0.0022782903887208603
50	0.001739462461867657
51	0.002078393361031915
52	-0.0013116896464416552
53	-0.0006487804801541633
54	-0.0004468398075372699
55	-0.0004148832265380217
56	-0.0005964585960112612
57	-0.0005048758407827986
58	-0.00048743004181052787
59	-0.0006487804801541633
60	-0.0004720022180290128
61	-0.0005558683617380032
62	-0.0006487804801541633
63	-0.00048743004181052787
64	-0.0004148832265380217
65	-0.0005964585960112612
66	-0.0006487804801541633
67	-0.0005964585960112612
68	-0.00048743004181052787
69	-0.0005558683617380032
70	-0.00048743004181052787
71	-0.0004720022180290128
72	-0.0006487804801541633
73	-0.0006081902458809054
74	-0.00048743004181052787
75	-0.00048743004181052787
76	-0.0004468398075372699
77	-0.00048743004181052787
78	-0.0005413462010529401
79	-0.0005567740248344552
80	-0.0005567740248344552
81	-0.0005973642591077133
82	-0.0007063928133084464
83	-0.0005413462010529401
84	-0.0013198520437862449
85	-0.00132942535861681
86	-0.0005976634794305926
87	-0.0005973642591077133
88	-0.0013366188000247946
89	-0.001517660836382924
90	-0.0006903255889879443
91	-0.0005413462010529401
92	-0.0012004011209643334
93	-0.0005413462010529401
94	-3.73399468610073e-05
95	-0.0004550414334953317
96	-0.0003845734896695331
97	-0.0007530051042599134
98	-0.00030742017740122325
99	-0.001288851305174571
100	-0.0006658025790351882
101	-0.0008819493649488681
102	-0.0004314119837557548
103	-0.0013366188000247946
